date,correlation,density,network_protocols,network_pairs,residual_correlation,residual_density,residual_network_protocols,residual_network_pairs,stablecoin_supply_usd,stablecoin_supply_log_flow,equal_weight_available,lagged_tvl_weighted,capped_lagged_tvl_weighted,category_balanced,retrospective_common_history,stablecoin_contraction,volatility,breadth,tvl_momentum,residual_volatility,residual_breadth,residual_equal_weight_return,eth_log_return,forward_return,label
2022-05-17,0.5522446406093923,0.6666666666666666,6,15,0.14710910947121378,0.1,5,10,159413236718.0,0.0084991729116365,-0.0275382914658185,-0.02792820965007736,-0.02770355101822525,-0.029128134887267537,-0.0275382914658185,0.10452306808403261,0.0533804271857294,1.0,0.3164850116080512,0.029018307284782743,0.0,0.015031448887471335,-0.0580851505815957,0.026288508124878457,0.0
2022-05-18,0.5488983658321012,0.6666666666666666,6,15,0.1474805930792552,0.1,5,10,158263160172.0,-0.0072405855880707,0.025694099195377646,0.021237575607183246,0.02114740738065864,0.02666565518519423,0.025694099195377646,0.1063491621817011,0.053824695459047535,0.0,0.29058477134278216,0.029023262747038245,0.2,-0.0027897153359715487,0.0336304685774991,0.005918675021765179,0.0
2022-05-19,0.5541735960084463,0.6666666666666666,6,15,0.15050068313335047,0.1,5,10,158499144778.0,0.0014899793692001,-0.04735482825015958,-0.05604425594564377,-0.05619967228667008,-0.04713762153658201,-0.04735482825015958,0.0101202045018122,0.05357632203474056,1.0,0.14594048878722846,0.02884261099990255,0.2,0.007347456446988421,-0.0898288253439213,0.0507576256718032,0.0
2022-05-20,0.5580833173338392,0.7333333333333333,6,15,0.14957905394690005,0.1,5,10,159156483288.0,0.0041386922831205,0.04358218648015618,0.04026445195635693,0.04107253822812842,0.0422174636388051,0.04358218648015619,0.004407543706079898,0.0526722460000286,0.0,-0.03129251749409586,0.029103488308574572,0.4,0.010611172481510191,0.0489803297361689,-0.05263706733244651,1.0
2022-05-21,0.5501138495873845,0.6666666666666666,6,15,0.14426161900611362,0.1,5,10,158417603244.0,-0.0046532850669246,-0.008532897320518233,-0.022790519238374923,-0.021189563528031592,-0.014356605845502902,-0.008532897320518235,0.0009239549405727987,0.05097514208181675,0.5,-0.023209002954746406,0.029113384230581574,0.4,0.0011676732782129704,-0.0238118440115008,-0.06958162348949475,1.0
2022-05-22,0.5468379057831664,0.6666666666666666,6,15,0.14533775623709438,0.1,5,10,158475938087.0,0.0003681668197711,0.005009658981616416,0.005508992484537235,0.0055029668953646095,0.0052801517471311,0.005009658981616417,-0.0029519106604469015,0.05102158156535307,0.16666666666666666,-0.02263564972675689,0.02917159817748876,0.4,-2.427189428283773e-05,0.0071820182975479,-0.051652559974090545,1.0
2022-05-23,0.5487032211044433,0.6666666666666666,6,15,0.1453227214095793,0.1,5,10,158578457825.0,0.0006467012783601,0.021595102874180382,0.02071447001045368,0.020724214006343937,0.022579957992929292,0.021595102874180386,-0.0032488420070930016,0.05128253842076458,0.0,-0.012455030494834308,0.029094696582813096,0.8,-0.003862865319097003,0.0340419116177835,-0.0702609231344874,1.0
2022-05-24,0.5498442315064164,0.6666666666666666,6,15,0.14350312466840415,0.1,5,10,158670219361.0,0.0005784833486012,-0.01370481383577435,-0.011598813761724483,-0.011674668325368585,-0.014082982189441732,-0.013704813835774349,0.004671847555942299,0.051210770602475475,1.0,-0.026288508124878457,0.029431676773318857,0.0,0.013729504977475632,-0.0358462041245022,0.006646980279451611,0.0
2022-05-25,0.5505171081411917,0.6666666666666666,6,15,0.14243846368936758,0.1,5,10,158827028632.0,0.0009877835775985,0.0053242660922643665,0.005159099837672752,0.005116470567119161,0.004570597164858491,0.0053242660922643665,-0.003556521609726901,0.05126733346554326,0.16666666666666666,-0.005918675021765179,0.02950908139102918,0.2,0.0028913991633810645,0.0026246291924631,0.0033679516256283405,0.0
2022-05-26,0.5499134785063919,0.6666666666666666,6,15,0.1446454631969319,0.1,5,10,158969444065.0,0.0008962682393852,-0.002515877600121558,-0.0029589358657738703,-0.002949585592488687,-0.0022734203877469053,-0.002515877600121558,-0.0029628104799120014,0.050223856888152854,0.6666666666666666,-0.050757625671803204,0.029416627504602756,0.0,0.00942893700039096,-0.01809631850507,-0.015431585303947197,0.0
2022-05-27,0.5490415712149204,0.6666666666666666,6,15,0.14595857954392738,0.1,5,10,158594112075.0,-0.002363823918155,-0.059812506524093534,-0.051890283198078535,-0.05199034415548548,-0.06488534568360871,-0.05981250652409353,0.003539705721363499,0.050589889016805376,1.0,0.05263706733244651,0.029530374155321688,0.4,0.004849464953932221,-0.072680254988412,0.06716323818738473,0.0
2022-05-28,0.5496866871193498,0.6666666666666666,6,15,0.14858973210680096,0.1,5,10,158141251758.0,-0.0028595520254361,-0.02547745347756647,-0.028909803324446842,-0.029167624881883417,-0.02400211131135615,-0.025477453477566466,0.0017459726798749993,0.05013868000030367,1.0,0.06958162348949475,0.029557018644648082,0.4,0.0027643812598531674,-0.0470493684909259,0.08653261004404353,0.0
2022-05-29,0.5489084397499345,0.6666666666666666,6,15,0.14883916091516242,0.1,5,10,158317850025.0,0.001116089152353,0.022938722497020614,0.020765813661608613,0.020927839697009606,0.02356759091985017,0.022938722497020617,0.0009980503472930993,0.050558681800835156,0.0,0.051652559974090545,0.029556512383017854,0.8,-0.00669453944302552,0.0409712149863749,0.05475569606295368,0.0
2022-05-30,0.5475500497160191,0.6666666666666666,6,15,0.14586379682045417,0.1,5,10,158210159072.0,-0.0006804513601335,0.002986739713783533,0.0014058431509401945,0.0013374021208631152,0.0035404316141535,0.002986739713783533,0.002325202985786699,0.05071753007410208,0.3333333333333333,0.0702609231344874,0.029493462365611376,1.0,-0.006874163677512821,0.0099499646953916,0.05783708707259342,0.0
2022-05-31,0.5872249108358114,0.7333333333333333,6,15,0.1564612515345622,0.1,5,10,158731339487.0,0.0032888144161609,0.06320308957816466,0.06493015121308793,0.06487934376328822,0.06687635374861574,0.06320308957816467,-0.0003851280817730009,0.05282097487576542,0.0,-0.006646980279451611,0.029514855181015456,0.4,-0.004692165098402134,0.0950371664893501,-0.006580683456404764,0.0
2022-06-01,0.5818177089452832,0.7333333333333333,6,15,0.16173531745972958,0.1,5,10,159296790757.0,0.0035559864808951,0.0020452374384411,-0.007891061503703353,-0.007699640932833754,0.0024554772331094096,0.0020452374384410995,-0.002953330985069601,0.052613826696976895,0.5,-0.0033679516256283465,0.029776781349055943,0.0,0.010941305824727136,-0.0263251326801779,-0.0050467591665089,0.0
2022-06-02,0.5812812069347023,0.7333333333333333,6,15,0.16824160831982504,0.1,5,10,160264129409.0,0.0060541921469654,-0.0213154145296971,-0.03185213930510891,-0.03166985630007412,-0.021623818314917824,-0.0213154145296971,-0.008111254892649801,0.0524673736086449,0.8333333333333334,0.015431585303947195,0.0300187341000637,0.0,0.011919359609880838,-0.0636374580830249,0.026004031606857034,0.0
2022-06-03,0.5818919281907349,0.7333333333333333,6,15,0.16909592230709194,0.1,5,10,159387989292.0,-0.0054818489213147,0.0227823169672384,0.009885295859593529,0.009917066230586902,0.02473369061370756,0.022782316967238397,-0.004993229889490101,0.05294027393962671,0.0,-0.06716323818738473,0.029959178888090847,0.2,0.003417531200196581,0.0064299279800267,0.003139443091936651,0.0
2022-06-04,0.582160828615454,0.7333333333333333,6,15,0.17170924964870254,0.1,5,10,159378201658.0,-6.140948620619651e-05,-0.006108081620907667,-0.016395149986694696,-0.01641683190690136,-0.004034975679438472,-0.006108081620907667,-0.0077913724287200035,0.05203445027808594,0.8333333333333334,-0.08653261004404354,0.030066229116400434,0.2,0.0062711434827597305,-0.0334198817448579,-0.05465182482919277,1.0
2022-06-05,0.5612609021839284,0.7333333333333333,6,15,0.1768431376945186,0.1,5,10,159318404528.0,-0.0003752605427296,-0.008838191484069231,-0.005469214189672689,-0.0055953244088962,0.0004805034248806508,-0.008838191484069233,-0.006300022733637405,0.05189111872386976,0.16666666666666666,-0.05475569606295369,0.03016717623755095,0.8,-0.027973174512197118,0.0159906494505544,-0.0962817291448523,1.0
2022-06-06,0.5610595260464948,0.7333333333333333,6,15,0.17060626526407616,0.1,5,10,159329214489.0,6.784899907621736e-05,0.006068130723423266,0.005183599229384622,0.005192615457937956,0.0058714643086267,0.006068130723423266,-0.007048323092847122,0.05204502840825279,0.0,-0.05783708707259343,0.030232217535550117,0.2,0.0047009310487825555,0.0005927125248693,-0.1441575992013869,1.0
2022-06-07,0.5574766510064987,0.7333333333333333,6,15,0.17740153293961264,0.2,5,10,159224391538.0,-0.0006581181490347,-0.0012146809508335344,-0.013333499715983107,-0.013389545171187898,-0.002565963715552979,-0.0012146809508335333,-0.0031013905276515217,0.051918302845506394,0.6666666666666666,0.006580683456404768,0.030300592113364135,0.8,-0.03341498152719409,0.0299297865062859,-0.28677904237241925,1.0
2022-06-08,0.5557807483426356,0.7333333333333333,6,15,0.18707871649740762,0.2,5,10,159107444347.0,-0.0007347502390775,0.0035791617283369667,0.006806112170153659,0.006533552799302742,0.00418176165328125,0.0035791617283369667,0.001189346192321078,0.051941185767776905,0.3333333333333333,0.005046759166508902,0.03076535197665377,0.2,0.019719807772373733,-0.0223823899426576,-0.3283497808232767,1.0
