scenario,propagation_multiplier,rounds,edge_threshold,initial_tail_cutoff,loss_cap,network_window_days,weighting,paths,mean_drawdown,p95_drawdown,p99_drawdown,probability_over_10pct,mean_affected_protocols
grid_44,0.7,1,0.6,0.8,0.5,90,current_tvl,3000,0.06334384299559549,0.13461914786819912,0.21266287665176403,0.135,3.5486666666666666
grid_45,0.7,1,0.6,0.9,0.3,30,current_tvl,3000,0.11204636241003303,0.19808632412313906,0.20770095557735974,0.6283333333333333,5.284666666666666
grid_46,0.7,1,0.6,0.9,0.3,90,current_tvl,3000,0.07716180107109805,0.13806862790165075,0.14433174122533488,0.27066666666666667,3.5353333333333334
grid_47,0.7,1,0.6,0.9,0.5,30,current_tvl,3000,0.11768217708290464,0.24694668944184955,0.3132561452469529,0.6273333333333333,5.282666666666667
grid_48,0.7,1,0.6,0.9,0.5,90,current_tvl,3000,0.08231487749932269,0.16471947137844647,0.22701115875424902,0.2663333333333333,3.5853333333333333
grid_49,0.7,3,0.3,0.8,0.3,30,current_tvl,3000,0.10001433705212856,0.202144333751212,0.21739937514321714,0.4056666666666667,8.0
grid_50,0.7,3,0.3,0.8,0.3,90,current_tvl,3000,0.08487808179412465,0.1759398773794087,0.19081428039990303,0.262,8.0
grid_51,0.7,3,0.3,0.8,0.5,30,current_tvl,3000,0.10037481989470744,0.2073469673975756,0.297926634556822,0.3883333333333333,8.0
grid_52,0.7,3,0.3,0.8,0.5,90,current_tvl,3000,0.09001446553818057,0.20275743157373224,0.2844013294569004,0.281,8.0
grid_53,0.7,3,0.3,0.9,0.3,30,current_tvl,3000,0.12730614919918856,0.21203619161085877,0.2212183467248095,0.6936666666666667,8.0
grid_54,0.7,3,0.3,0.9,0.3,90,current_tvl,3000,0.10755624953608803,0.18193168232545612,0.19182513384311267,0.535,8.0
grid_55,0.7,3,0.3,0.9,0.5,30,current_tvl,3000,0.1351986033230155,0.2717843113321476,0.3411804390684054,0.7,8.0
grid_56,0.7,3,0.3,0.9,0.5,90,current_tvl,3000,0.11671062986002038,0.23243547524259825,0.29826033595776585,0.5633333333333334,8.0
grid_57,0.7,3,0.6,0.8,0.3,30,current_tvl,3000,0.08942795043202725,0.19136521275705703,0.20980083363795643,0.35,6.248
grid_58,0.7,3,0.6,0.8,0.3,90,current_tvl,3000,0.07302569083299516,0.15197400818067822,0.1693713275191511,0.19833333333333333,5.295
grid_59,0.7,3,0.6,0.8,0.5,30,current_tvl,3000,0.09441361668915131,0.22905017847544928,0.31130943106292297,0.3403333333333333,6.252
grid_60,0.7,3,0.6,0.8,0.5,90,current_tvl,3000,0.07553618204004137,0.17127503165568927,0.2494812328728602,0.196,5.23
grid_61,0.7,3,0.6,0.9,0.3,30,current_tvl,3000,0.11414293823523614,0.20064362059671192,0.2118198056791361,0.6373333333333333,6.242
grid_62,0.7,3,0.6,0.9,0.3,90,current_tvl,3000,0.09242898765158879,0.16286533055036076,0.17524937698212295,0.4103333333333333,5.208333333333333
grid_63,0.7,3,0.6,0.9,0.5,30,current_tvl,3000,0.12182786613783238,0.25726903747720425,0.3300261835092341,0.6406666666666667,6.282
grid_64,0.7,3,0.6,0.9,0.5,90,current_tvl,3000,0.09968692482569516,0.20883214651248172,0.2666412763002075,0.41433333333333333,5.278333333333333
baseline_equal_weights,0.5,2,0.45,0.85,0.5,60,equal,5000,0.06357029730235719,0.1392507500404144,0.1925070951525791,0.1232,6.25
